Mouse,Infection,Sex,RR Interval ms,Heart Rate BPM,QRS Interval ms,QT Interval ms,QTc ms,JT Interval ms,Tpeak Tend Interval ms,Q Amplitude mV,R Amplitude mV,S Amplitude mV,ST Height mV,T Amplitude mV
FC_1,Control,Female,179.4,342.7,7.857,44.38,33.03,36.53,32.85,0.01579,1.021,-0.4024,0.08199,0.1446
FC_2,Control,Female,144.7,417,8.441,41.62,34.61,33.18,31.21,0.0614,1.266,-0.4671,0.06507,0.2336
FC_3,Control,Female,90.92,664.8,6.812,38.54,39.66,31.73,28.23,0.02356,1.262,-0.332,0.1324,0.2174
FC_4,Control,Female,90.61,663.1,9.107,NA,NA,NA,NA,-0.01481,0.8315,-0.533,0.1458,0.2532
FC_5,Control,Female,111.7,562.4,6.964,34.7,34.32,27.87,24.31,0.01608,0.9736,-0.6834,0.132,0.1922
MC_1,Control,Male,99.37,612.7,8.544,41.82,42.24,33.28,31.4,-0.01068,0.617,-0.7676,0.01138,0.04448
MC_2,Control,Male,85.33,705.1,7.9,39.46,42.29,31.56,27.86,0.01879,0.7638,-0.5667,0.05245,0.09693
MC_3,Control,Male,84.08,725.8,7.475,37.99,41.77,30.51,28.11,0.004105,0.8109,-0.5221,0.1118,0.2316
MC_4,Control,Male,80.11,749.7,7.458,36.84,41.29,29.38,27.09,-0.01868,0.7445,-0.373,0.1291,0.2686
MC_5,Control,Male,83.62,718.5,7.658,39.55,43.33,31.9,29.68,0.0261,0.5999,-0.5712,0.1093,0.2243
FI_1,Infected,Female,228.7,265.3,7.375,NA,NA,NA,NA,0.0197,0.8218,-0.1831,0.01746,0.1185
FI_2,Infected,Female,263.7,227.7,12.07,NA,NA,NA,NA,0.01542,0.7381,-0.4119,0.2095,0.2398
FI_3,Infected,Female,136.5,439.9,11.96,61.93,53.09,49.79,42.46,0.03927,0.7963,-0.07966,0.02008,0.07327
FI_4,Infected,Female,159.1,379.8,10,58.61,49.47,48.62,41.03,0.03553,0.9721,-0.1439,0.09101,0.1347
FI_5,Infected,Female,132.4,453.6,8.5,47.49,41.36,38.99,35.19,0.01767,1.078,-0.4023,0.1121,0.127
MI_1,Infected,Male,145.9,417.8,11.47,49.15,39.39,37.56,33.57,0.02608,0.632,-0.2043,0.0226,0.04109
MI_2,Infected,Male,233.7,258.7,10.62,80.34,52.8,69.64,58.84,-0.003755,0.5542,-0.2249,0.01391,0.06051
MI_3,Infected,Male,114.2,526.8,8.119,48.66,45.38,40.57,35.77,0.03331,0.9551,-0.5669,0.1551,0.1598
MI_4,Infected,Male,144.8,422.3,13.13,69.63,55.37,56.37,52.11,0.001778,0.628,-0.1419,0.008339,0.0361
MI_5,Infected,Male,108.7,552.1,10.13,54.61,52.39,44.49,38.92,0.01365,0.6472,-0.5967,0.06632,0.07128
